date	Stock	Open	Low	Close	Volume	30_day_MA	60_day_MA	90_day_MA	30_day_MA	60_day_MA	90_day_MA	SMA_30	SMA_60	SMA_90	EMA_30	EMA_60	EMA_90	RSI	EMA_12	EMA_26	MACD	Signal_Line	MACD_Histogram	Price_Change_Pct	Article Length	article_sentiment
4/2/2019	MSFT	119.4800034	118.5199966	119.1900024	18142300	112.7156667	108.6776666	108.8194444	112.7156667	108.6776666	108.8194444	112.7156667	108.6776666	108.8194444	113.6485202	110.9961345	109.6916106	82.00588859	117.1846183	114.2772867	2.907331563	2.746171004	0.161160559	0.142838013	224	1
4/2/2019	MSFT	119.4800034	118.5199966	119.1900024	18142300	113.1860001	108.969	108.8696666	113.1860001	108.969	108.8696666	113.1860001	108.969	108.8696666	114.0060352	111.2647859	109.9003665	76.65070457	117.4931389	114.6411916	2.851947336	2.76732627	0.084621066	0.142838013	861	4
4/3/2019	MSFT	120.4300003	119.1500015	119.9700012	22860700	113.7040001	109.1828334	108.9362222	113.7040001	109.1828334	108.9362222	113.7040001	109.1828334	108.9362222	114.3908072	111.5502028	110.1216771	78.27246917	117.8741946	115.0359182	2.838276437	2.781516303	0.056760134	0.654416279	321	4
4/3/2019	MSFT	120.4300003	119.1500015	119.9700012	22860700	114.1400002	109.3966667	108.9846666	114.1400002	109.3966667	108.9846666	114.1400002	109.3966667	108.9846666	114.7507552	111.8262618	110.3381238	76.42511109	118.1966264	115.4014058	2.795220588	2.78425716	0.010963427	0.654416279	760	2
4/4/2019	MSFT	120.2300034	118.3799973	119.3600006	20112800	114.5583336	109.5178335	109.0312222	114.5583336	109.5178335	109.0312222	114.5583336	109.5178335	109.0312222	115.0481259	112.0732696	110.5364068	72.17152205	118.3756071	115.6946351	2.680971989	2.763600126	-0.082628137	-0.508460952	1329	5
4/4/2019	MSFT	120.2300034	118.3799973	119.3600006	20112800	114.976667	109.6390002	109.0777778	114.976667	109.6390002	109.0777778	114.976667	109.6390002	109.0777778	115.3263113	112.3121788	110.730332	72.17152205	118.5270522	115.9661436	2.560908592	2.723061819	-0.162153227	-0.508460952	958	3
4/5/2019	MSFT	120.2300034	119.3700027	119.8899994	15826200	115.409667	109.8191668	109.164	115.409667	109.8191668	109.164	115.409667	109.8191668	109.164	115.6207428	112.560632	110.9316433	73.24560875	118.7367364	116.2567996	2.479936789	2.674436813	-0.194500024	0.444033828	610	4
4/5/2019	MSFT	120.2300034	119.3700027	119.8899994	15826200	115.7986669	109.9993334	109.2502223	115.7986669	109.9993334	109.2502223	115.7986669	109.9993334	109.2502223	115.8961787	112.8009391	111.1285303	63.4292374	118.9141615	116.5259255	2.388235954	2.617196642	-0.228960687	0.444033828	914	4
4/8/2019	MSFT	120.0199966	118.6399994	119.9300003	15116200	116.076667	110.1740002	109.3354445	116.076667	110.1740002	109.3354445	116.076667	110.1740002	109.3354445	116.1564253	113.0346788	111.3219692	64.6060828	119.0704444	116.7780792	2.292365163	2.552230346	-0.259865183	0.033364681	1036	4
4/8/2019	MSFT	120.0199966	118.6399994	119.9300003	15116200	116.3400004	110.4056669	109.4884444	116.3400004	110.4056669	109.4884444	116.3400004	110.4056669	109.4884444	116.3998817	113.2607549	111.5111567	47.38737698	119.2026837	117.0115548	2.1911289	2.480010057	-0.288881156	0.033364681	503	2
